Movie,0
The Lord of the Rings: The Return of the King,15.318181818181818
The Shawshank Redemption,12.181818181818183
Schindler's List,12.181818181818183
The Godfather Part II,12.000000000000002
The Silence of the Lambs,11.545454545454547
Inception,11.113636363636363
Gladiator,10.477272727272728
Forrest Gump,10.318181818181818
The Matrix,10.295454545454545
The Green Mile,9.90909090909091
The Departed,9.90909090909091
The Godfather,9.045454545454547
Whiplash,8.431818181818183
The Prestige,5.863636363636363
The Dark Knight,5.5227272727272725
Dune 2,4.977272727272728
Fight Club,4.613636363636363
Goodfellas,4.340909090909092
Pulp Fiction,4.340909090909092
Se7en,3.772727272727273
Shutter Island,3.772727272727273
Batman & Robin,-12.863636363636363
Fifty Shades of Grey,-13.931818181818183
Transformers: Revenge of the Fallen,-13.931818181818183
Battlefield Earth,-16.295454545454547
Jack and Jill,-16.295454545454547
Catwoman,-16.31818181818182
Gigli,-16.772727272727273
Superbabies: Baby Geniuses 2,-18.227272727272727
Foodfight!,-18.43181818181818
The Room,-18.43181818181818
Birdemic: Shock and Terror,-18.43181818181818
